,date,home_win,p_ml_away_final,r_log_win_actual_payout,r_log_win_actual_payout_adj,r_lin_win_actual_payout,r_lin_win_actual_payout_adj,log_o6_final,log_o7_final,log_o8_final,log_o6_final_adj,log_o7_final_adj,log_o8_final_adj,lin_o6_final,lin_o7_final,lin_o8_final,lin_o6_final_adj,lin_o7_final_adj,lin_o8_final_adj
54,2010-06-24,8,664.0,61.71,851.08,-876.1,-2436.4,-100.0,2.0,13.0,-300.0,-198.0,352.0,-100.0,186.75,-200.0,-300.0,356.24,-500.0
55,2010-06-25,5,336.0,289.19,607.29,503.13,1233.44,0.0,0.0,-120.91,0.0,0.0,-620.91,0.0,0.0,66.81,0.0,0.0,317.69000000000005
56,2010-06-26,10,1159.0,119.06000000000002,714.4000000000003,104.32,68.5,0.0,188.03,103.59,0.0,376.07,292.37,0.0,-200.0,-300.0,0.0,-400.0,-900.0
57,2010-06-27,6,782.0,-201.97000000000003,-839.06,121.26999999999998,291.3499999999999,100.0,96.75,66.75,200.0,347.73,211.49,100.0,284.47,78.49000000000001,200.0,910.8900000000001,54.98000000000002
58,2010-06-28,4,-25.0,403.84000000000003,1254.19,26.75,-631.25,-100.0,0.0,-1.9599999999999937,-300.0,0.0,390.2,-100.0,0.0,-200.0,-300.0,0.0,-600.0
59,2010-06-29,7,920.0,56.14999999999999,334.33000000000004,169.03999999999996,1289.53,0.0,-77.0,92.91,0.0,92.0,165.64,0.0,-96.0,-98.0,0.0,-188.0,-598.0
60,2010-06-30,7,700.0,71.97000000000003,-451.28,182.25,519.0,98.04,15.0,149.70999999999998,196.08,130.0,244.05,-100.0,217.0,163.64999999999998,-200.0,332.0,257.99
61,2010-07-01,5,-57.0,14.689999999999994,108.1,122.7,648.14,0.0,0.0,-4.760000000000005,0.0,0.0,280.95,0.0,0.0,-4.760000000000005,0.0,0.0,-304.76
62,2010-07-02,8,577.0,-306.03999999999996,-942.15,-800.0,-2200.0,0.0,-100.0,90.91,0.0,-500.0,181.82,0.0,86.96,-100.0,0.0,434.78,-200.0
63,2010-07-03,9,0.0,-500.0,-1900.0,-900.0,-2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2010-07-04,6,0.0,-900.0,-2900.0,-700.0,-2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2010-07-05,4,1004.0,147.87,95.72000000000003,-130.95,-170.95000000000005,0.0,-100.0,9.0,0.0,-100.0,127.0,0.0,-100.0,9.0,0.0,-100.0,127.0
66,2010-07-06,6,798.0,-222.98,-1199.52,-347.55,-1198.8899999999999,0.0,78.74,-34.67,0.0,314.96,-434.66999999999996,0.0,-100.0,164.34,0.0,-400.0,-235.65999999999997
67,2010-07-07,7,726.0,168.42999999999998,88.10000000000005,-306.77,-265.46999999999997,0.0,299.21,-213.79000000000002,0.0,811.41,-1013.79,0.0,88.21,-5.670000000000002,0.0,178.41,38.32999999999993
68,2010-07-08,6,539.0,217.33,635.5,273.64000000000004,601.33,0.0,-20.0,-21.879999999999995,0.0,-140.0,-421.88,0.0,166.95999999999998,-21.879999999999995,0.0,420.87,-421.88
69,2010-07-09,4,456.0,59.28999999999999,1408.71,153.35,-620.97,94.34,188.12,-100.0,188.68,404.53,-300.0,-100.0,188.12,109.0,-200.0,404.53,327.0
70,2010-07-10,11,1089.0,834.6,2971.3599999999997,-149.90999999999997,123.27999999999997,0.0,-200.0,-7.670000000000002,0.0,-600.0,-607.67,0.0,-24.810000000000002,-7.670000000000002,0.0,-424.81,-607.67
71,2010-07-11,6,875.0,-64.71000000000001,-232.44000000000005,-139.85999999999996,-676.3,0.0,-100.0,-213.04000000000002,0.0,-500.0,-413.04,0.0,-100.0,-212.28,0.0,-500.0,-224.56
72,2010-07-15,1,267.0,-41.86,-209.3,-41.86,-209.3,0.0,0.0,84.75,0.0,0.0,169.49,0.0,0.0,-100.0,0.0,0.0,-200.0
73,2010-07-16,8,465.0,706.45,2099.41,-559.96,-2509.83,0.0,0.0,-109.08,0.0,0.0,-383.08,0.0,0.0,82.82999999999998,0.0,0.0,231.83000000000004
74,2010-07-17,11,430.0,773.3600000000001,1894.7099999999998,-292.65,-464.9999999999998,176.62,-101.96,-71.0,344.69,-501.96,-449.0,176.62,77.81,119.32999999999998,344.69,438.16999999999996,-96.0
75,2010-07-18,23,2099.0,1066.0500000000002,3729.149999999999,-1542.37,-5920.51,78.74,100.0,-1402.61,157.48,300.0,-2310.3,-100.0,-100.0,-496.10999999999996,-200.0,-300.0,-859.9000000000001
76,2010-07-19,3,-56.0,97.44999999999999,587.0799999999999,-68.23000000000002,-119.71000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2010-07-20,7,429.0,-353.46999999999997,-1267.05,-301.23,-506.5999999999999,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0
78,2010-07-21,11,306.0,452.11,821.3299999999999,-213.76000000000002,-241.54000000000008,-100.0,99.09,152.63,-200.0,198.17,391.40999999999997,-100.0,-113.79,152.63,-200.0,-227.59,391.40999999999997
79,2010-07-22,4,763.0,402.1700000000001,1972.98,319.96000000000004,1064.23,0.0,90.09,-100.0,0.0,90.09,-300.0,0.0,-100.0,-100.0,0.0,-100.0,-300.0
80,2010-07-23,7,120.0,76.99000000000002,280.96000000000004,80.95000000000002,461.73999999999995,0.0,-100.0,-85.0,0.0,-100.0,-485.0,0.0,-100.0,125.0,0.0,-100.0,-65.0
81,2010-07-24,6,-84.0,-73.3,-1270.85,-129.88,320.58000000000004,0.0,-0.9899999999999949,-114.82,0.0,-301.98,-614.8199999999999,0.0,-200.0,470.80000000000007,0.0,-700.0,949.47
82,2010-07-25,10,-171.0,262.56,897.3299999999999,-308.18999999999994,122.88999999999999,-100.0,0.0,-231.17000000000002,-300.0,0.0,-541.0799999999999,-100.0,0.0,-231.17000000000002,-300.0,0.0,-541.0799999999999
83,2010-07-26,3,314.0,237.3,433.37999999999994,-96.02999999999999,100.05,0.0,0.0,-20.0,0.0,0.0,-220.0,0.0,0.0,-20.0,0.0,0.0,-220.0
84,2010-07-27,9,516.0,-47.96000000000001,62.579999999999984,-76.96999999999994,137.17000000000007,-16.67,217.95999999999998,-104.76,-216.67000000000002,1291.83,-204.76,-3.8499999999999943,31.0,265.71999999999997,188.45999999999998,544.0,344.46
85,2010-07-28,7,810.0,153.66,45.01999999999996,-64.98000000000005,-186.65000000000012,169.51,89.58,-500.0,339.03999999999996,-110.41999999999999,-700.0,-23.08,295.58000000000004,-119.69,-46.150000000000006,507.58000000000004,65.5
86,2010-07-29,8,1187.0,449.65999999999997,1263.12,145.85,821.2800000000001,-100.0,0.0,-315.25,-500.0,0.0,-715.25,74.07,0.0,-309.09000000000003,370.37,0.0,-709.09
87,2010-07-30,4,499.0,-161.12,-451.52,-161.12,-451.52,0.0,0.0,-400.0,0.0,0.0,-700.0,0.0,0.0,8.0,0.0,0.0,-292.0
88,2010-07-31,10,1789.0,320.43999999999994,634.4799999999999,-6.150000000000034,-961.4999999999999,0.0,-200.0,168.73,0.0,-400.0,-331.27,0.0,-15.25,-32.290000000000006,0.0,-215.25,30.870000000000005
89,2010-08-01,10,742.0,-140.78000000000003,-823.21,27.199999999999974,743.69,122.0,124.0,-126.92,122.0,124.0,3.6399999999999864,122.0,-100.0,64.82,122.0,-100.0,192.78999999999996
90,2010-08-02,2,459.0,28.25999999999999,264.12,582.26,1360.12,-100.0,-100.0,-200.0,-300.0,-200.0,-200.0,-100.0,-100.0,-21.260000000000005,-300.0,-200.0,-21.260000000000005
91,2010-08-03,6,617.0,-199.67000000000002,-763.84,726.6199999999999,1983.4,0.0,-90.0,-2.9099999999999966,0.0,-480.0,191.26,0.0,-98.0,-200.0,0.0,-496.0,-400.0
