"date","matchup","ID","name.x","label","slug.y","name.y","field_type","state","longitude","attendance","broadcast","daytime","duration","temperature","temperature_unit","weather_conditions","wind_direction","wind_speed","wind_speed_unit","at_bats","balks","batting_average","caught_stealing","complete_games","double_plays","doubles","earned_run_average","earned_runs_against","errors_made","games_lost","games_played","games_won","grounded_into_double_plays","hit_batters","hit_by_pitch","hits","home_runs","intentional_walks","intentional_walks_against","left_on_base","on_base_percentage","on_base_plus_slugging","outs_pitched","passed_balls","pickoffs","rlisp_two_out","runs","runs_batted_in","runs_inning_1","runs_inning_2","runs_inning_3","runs_inning_4","runs_inning_5","runs_inning_6","runs_inning_7","runs_inning_8","runs_inning_9","runs_inning_10","runs_inning_11","runs_inning_12","runs_inning_13","runs_inning_14","runs_inning_15","runs_inning_16","runs_inning_17","runs_inning_18","runs_inning_19","runs_inning_20","runs_inning_21","runs_inning_22","runs_inning_23","runs_inning_24","runs_inning_extra","sacrifice_flys","sacrifice_hits","saves","shutouts","slugging_percentage","stolen_bases","strikeouts","team_left_on_base","total_bases","triple_plays","triples","two_out_left_on_base","walks","whip","wild_pitches"
2016-04-21,"TB-BOS","TB-BOS-2016-04-21","Rays vs Red Sox April 21, 2016 at  1:35pm","Rays vs Red Sox","mlb-tb","Fenway Park","grass","MA",-71.0948148,37954,"NESN",TRUE,15360,61,"f","cloudy","In from Left",13,"mph",40,0,0.375,0,0,0,5,8,8,3,0,0,1,0,0,4,15,2,0,0,20,0.5,1.15,27,0,0,4,12,11,1,0,1,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.65,0,8,12,26,0,0,4,6,2.222,0
2016-06-08,"TB-ARI","TB-ARI-2016-06-08","Rays vs Diamondbacks June  8, 2016 at 12:40pm","Rays vs Diamondbacks","mlb-tb","Chase Field","grass","AZ",-112.0746942,16954,"FS-A",TRUE,10800,NA,NA,"indoors",NA,NA,NA,36,0,0.278,0,0,2,0,3,3,0,0,0,1,0,0,0,10,3,0,1,11,0.366,0.949,27,0,0,3,6,6,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.583,0,7,8,21,0,1,3,5,1.667,0
2016-07-08,"TB-BOS","TB-BOS-2016-07-08","Rays vs Red Sox July  8, 2016 at  7:10pm","Rays vs Red Sox","mlb-tb","Fenway Park","grass","MA",-71.0948148,37739,"NESN",FALSE,12000,NA,NA,NA,NA,NA,NA,36,0,0.278,0,0,0,1,6.75,6,0,1,0,0,0,0,1,10,2,0,0,13,0.325,0.797,24,0,0,0,5,5,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.472,3,0,8,17,0,0,3,2,1.625,0
2016-08-23,"BOS-TB","BOS-TB-2016-08-23","Red Sox vs Rays August 23, 2016 at  7:10pm","Red Sox vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,11249,"Fox  Sports Sun",FALSE,11340,NA,NA,NA,NA,NA,NA,30,0,0.2,0,0,2,2,1,1,1,1,0,0,1,0,2,6,0,0,0,13,0.294,0.561,27,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0,0,6,8,0,0,2,2,1,0
2016-08-06,"MIN-TB","MIN-TB-2016-08-06","Twins vs Rays August  6, 2016 at  6:10pm","Twins vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,15603,"Fox  Sports Sun",FALSE,11340,NA,NA,NA,NA,NA,NA,35,0,0.286,0,0,1,1,2,2,1,0,0,1,0,0,0,10,3,0,0,16,0.342,0.913,27,0,0,0,7,6,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.571,3,0,7,20,0,0,3,3,1.222,0
2016-04-25,"BAL-TB","BAL-TB-2016-04-25","Orioles vs Rays April 25, 2016 at  7:10pm","Orioles vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,12996,"Sun Sports",FALSE,9420,NA,NA,"indoors",NA,NA,NA,28,0,0.179,0,0,0,2,0,0,0,0,0,1,1,0,2,5,0,0,0,14,0.324,0.574,27,0,0,5,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,9,8,7,0,0,5,4,0.556,0
2016-04-05,"TOR-TB","TOR-TB-2016-04-05","Blue Jays vs Rays April  5, 2016 at  7:10pm","Blue Jays vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,12757,"Sun Sports",FALSE,11220,NA,NA,"indoors",NA,NA,NA,30,NA,0.233,1,0,1,1,1,1,1,0,0,1,0,0,1,7,2,0,0,12,0.258,0.725,27,0,0,3,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0,9,4,14,0,0,3,0,1.444,0
2016-05-11,"TB-SEA","TB-SEA-2016-05-11","Rays vs Mariners May 11, 2016 at 12:40pm","Rays vs Mariners","mlb-tb","Safeco Field","grass","WA",-122.3320708,23000,"ROOT SPORTS",TRUE,14460,67,"f","sunny","Out to Center",5,"mph",43,NA,0.233,0,0,0,2,5.4,6,0,1,0,0,0,0,1,10,2,0,0,19,0.34,0.759,30,0,0,7,5,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419,0,16,12,18,0,0,7,6,1.5,2
2016-05-15,"OAK-TB","OAK-TB-2016-05-15","Athletics vs Rays May 15, 2016 at  1:10pm","Athletics vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,19545,"Sun Sports",TRUE,11100,NA,NA,"indoors",NA,NA,NA,34,0,0.176,0,0,0,2,7,7,0,1,0,0,0,0,0,6,3,0,0,9,0.216,0.716,27,0,1,2,6,6,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,9,4,17,0,0,2,2,1.556,1
2016-06-11,"HOU-TB","HOU-TB-2016-06-11","Astros vs Rays June 11, 2016 at  4:10pm","Astros vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,19658,"Sun Sports",TRUE,10320,NA,NA,"indoors",NA,NA,NA,29,0,0.207,0,0,0,2,4,4,0,1,0,0,2,1,2,6,2,0,0,8,0.314,0.797,27,0,0,2,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.483,0,4,5,14,0,0,2,3,1,1
2016-04-26,"BAL-TB","BAL-TB-2016-04-26","Orioles vs Rays April 26, 2016 at  7:10pm","Orioles vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,10988,"Sun Sports",FALSE,9840,NA,NA,"indoors",NA,NA,NA,30,0,0.233,0,0,3,4,1,1,0,0,0,1,0,0,0,7,1,2,0,17,0.314,0.781,27,0,1,4,3,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.467,2,8,8,14,0,0,4,2,1.111,0
2016-07-21,"TB-OAK","TB-OAK-2016-07-21","Rays vs Athletics July 21, 2016 at  7:05pm","Rays vs Athletics","mlb-tb","Oakland-Alameda County Coliseum","grass","CA",-122.2028616,14412,"CSNCA",FALSE,9960,NA,NA,NA,NA,NA,NA,35,0,0.286,0,0,0,1,3,3,0,0,0,1,0,1,0,10,2,0,0,4,0.278,0.764,27,0,0,0,7,7,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.486,0,0,2,17,0,0,0,0,0.778,0
2016-03-06,"MIN-TB","MIN-TB-2016-03-06","Twins vs Rays March  6, 2016 at  1:05pm","Twins vs Rays","mlb-tb","Charlotte Sports Park","grass","FL",NA,NA,"",TRUE,NA,72,"f","sunny","In from Right",10,"mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,NA,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-02,"TOR-TB","TOR-TB-2016-09-02","Blue Jays vs Rays September  2, 2016 at  7:10pm","Blue Jays vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,12602,"Fox  Sports Sun",FALSE,10320,NA,NA,NA,NA,NA,NA,34,0,0.235,0,0,0,2,3,3,0,0,0,1,0,0,1,8,3,0,0,15,0.316,0.934,27,0,0,0,8,8,0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.618,0,0,6,21,0,1,2,3,1.111,0
2016-04-14,"CLE-TB","CLE-TB-2016-04-14","Indians vs Rays April 14, 2016 at  1:10pm","Indians vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,10715,"SportsTime Ohio",TRUE,12000,NA,NA,"indoors",NA,NA,NA,31,0,0.161,0,0,2,0,5,5,2,1,0,0,0,0,0,5,0,0,0,16,0.235,0.396,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0,14,7,5,0,0,2,3,2.222,0
2016-06-19,"SF-TB","SF-TB-2016-06-19","Giants vs Rays June 19, 2016 at  1:10pm","Giants vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,17361,"Sun Sports",TRUE,12600,NA,NA,"indoors",NA,NA,NA,34,1,0.206,0,0,1,0,5,5,0,1,0,0,0,0,1,7,0,0,0,21,0.25,0.456,27,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.206,1,11,9,7,0,0,6,1,1.333,0
2016-08-19,"TEX-TB","TEX-TB-2016-08-19","Rangers vs Rays August 19, 2016 at  7:10pm","Rangers vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,15109,"Fox  Sports Sun",FALSE,10620,NA,NA,NA,NA,NA,NA,33,0,0.182,0,0,0,1,6,6,0,1,0,0,1,0,0,6,1,0,0,7,0.229,0.532,27,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,0,0,6,10,0,0,1,2,1.667,0
2016-09-06,"BAL-TB","BAL-TB-2016-09-06","Orioles vs Rays September  6, 2016 at  7:10pm","Orioles vs Rays","mlb-tb","Tropicana Field","turf","FL",-82.6533237,12207,"Fox  Sports Sun",FALSE,11280,NA,NA,NA,NA,NA,NA,35,0,0.229,0,0,0,2,10,10,1,1,0,0,1,1,0,8,1,0,0,19,0.27,0.641,27,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,1,0,8,13,0,0,4,2,2.222,0
